,teks,label,clean_teks
0,"Capres Alternatif 2019 Fahri Hamzah - Fadli Zon, siap membawa perubahan menuju Indonesia baru yg bersih bebas korupsi, sejahtera rakuatnya. jangan lupa 2019 duet FAHRI ZONK ",yes,capres alternatif fahri hamzah fadli zon bawa ubah indonesia bersih bebas korupsi sejahtera rakuatnya lupa duet fahri zonk
1,"Hari ini cuaca sangat cerah, semoga kamu memiliki hari yang menyenangkan!",no,cuaca cerah moga milik senang
2,Makasih ya udah selalu ada buat aku. Kamu teman terbaik!,no,terimakasih ya teman baik
3,TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syari yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,yes,tolol hubung nya gugur pakai hijab syar bilang bayi nya panas dalem hubung nya woyyyy otak jempol singkron sih ya nulis komentar
4,eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,yes,eh situ kids jaman ya banyak micin ngina bodoh pelihara
5,"ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",yes,ahhh jaga ucap lahh ucap jaga dasar munafik dasar betina zaman ellu kali yangg lebih micin otak selangkang paham moga tuhan ampunin munafik cun
6,"yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",yes,yaa ampun upil naruto cermin pecunpengalaman yaa kasihan prihatin mati deh ngotorin dunia manusia
7,"Kamu emang cuma bisa modal tampang doang, tolol!",yes,modal tampang tolol
8,"itu yg komen via nyinyir mulu duh kyak dia gak pernah nyinyirin orang aja, mungkin lebih parah, kalo org sudah sok bener mah gitu, pdhal ini kan media sosial, hak dia dong instagram juga instagram dia, yg penting kan nyinyir gak pake ig s",yes,komen via nyinyir duh nyinyirin orang parah orang sok mah media sosial hak instagram instagram nyinyir pakai ig s
9,"ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",yes,pikir manusia bodoh eehhh tanteibuomaempo otak picik ya manusi larang dunia orang larang ngungkapin unek bodoh human
10,Kok bisa-bisanya kamu bodoh banget sih? Nggak ada otak!,yes,bisabisanya bodoh sih otak
11,"cara didik ortunya nagita bagus, makanya amat sangat heran dg balajaer, kan nagita yah yg dirugikan sm junjunganny.. Knp dia yg dibenci, bodoh bgt asli.",yes,didik ortunya nagita bagus heran balajaer nagita yah rugi junjunganny benci bodoh banget asli
12,"pdhl km lebih kampungan loh,pake kerudung tapi mulutnya cuihh..",yes,kampung lohpake kerudung mulut cuihh
13,"iya banyak berarti mereka norak kampyuung, coba liat artis yang adem ayem liat isyana liat agnezmo liat mba liaaat..... jangan diliat aja coba di telaah deh, dikasih tau contoh artis yang better eh jawabannya begini ya cocok la",yes,iya norak kampyuung coba lihat artis adem ayem lihat isyana lihat agnezmo lihat mbak liaaat coba telaah deh kasih contoh artis better eh jawab ya cocok la
14,"lah goblok amat, gak semua netizen yg kontra sm postingan si via ini bakajaer kali, mba/mas. Ih goblok kok dipiara. Lol",yes,goblok netizen kontra postingan si via bakajaer kali mbamas ih goblok piara tertawa
15,"baru itu aj kn y mba, apa lagi kaya agnes mo bnyk penghargaan ny tp g kampungan beda am yg ini",yes,y mbak kaya agnes harga nya kampung beda am
16,wawan zzzzz emng ini artis ga punya tmn apa? Dikit dikit att hahaha lagi juga apa apa curhat di sosmed kampungan,yes,wawan zzzzz emang artis teman att hahaha curhat sosmed kampung
17,main main lah ke jawa timur.. Biar ga begok!!,yes,main main jawa timur biar begok
18,bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,yes,nya orang nyindir netijen goblog banyak masyako
19,"dia udah nunjukin karyanya, situ pny karya apa? Karya nyinyir hidupnya Via?? Tolol ??",yes,nunjukin karya situ karya karya nyinyir hidup via tolol
20,"siapa bilang gw fansnya Via?? Duh nantangin gw nih org... anak tolol ank alay, jablay!",yes,bilang fansnya via duh nantangin nih orang anak tolol anak alay jablay
21,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,yes,dasar artis abal abal laku layar kacaudh duit miskin miskinjadi main dukun elmu pelet rebut suami orang kaya
22,"Pacar kamu pasti mati gaya sama kamu, jelek parah!",yes,pacar mati gaya jelek parah
23,lebih memalukan anda buk ...ngomong pelakor emang ibuk udah pernah jadi pelakor ya kok bisa tau ayu pelakor wkwkwkwkwk. ..awas ibu nanti malah justru rumah tangga ibu yg dimasukin pelakor atau anaknya nanti jadi pelakor ..,yes,malu buk bicara pelakor ibuk pelakor ya ayu pelakor wkwkwkwkwk awas rumah tangga dimasukin pelakor anak pelakor
24,TAI loe di gedein bagus buat pupuk jngan bacot loe goblok !!! nih cewek knpa bawa2 suku ?,yes,tai gedein bagus pupuk bacot goblok nih cewek bawa suku
25,iya kasian si micin?? padahal perusahan produk micin mengiklan kan kalo masak tambahkan micin biar tambah sedap netizen menyudutkan mecin seolah semua kebodohan orang yg punya gangguan jiwa ngemil micin??#justiceformicin,yes,iya kasihan si micin usah produk micin iklan masak tambah micin biar sedap netizen sudut mecin bodoh orang ganggu jiwa ngemil micinjusticeformicin
26,bego lo ya,yes,bodoh ya
27,hoy barisan sakit hati ?? jijikk banget.. fans billy mah ALHAMDULILLAH bgt billy putus sama manusiaa buluk ituu... itu yg ditunggu lama2 akhiry putus juga.. dan sekarang kobil jg jijik sama ni orang :v,yes,hoy baris sakit hati jijikk fans billy mah alhamdulillah banget billy putus manusiaa buluk ituu tunggu akhiry putus kobil jijik ni orang v
28,"Noh urus tu kuin lu, biar ga gatel nempel2 ama laki orng, masyarakat udh tau kali japok gundik janda gatel,udh kenyataan nya begtu KATANYA ANAK SHOLEHAH AGAMA NYA KUAT TAPI MATA KULIAH AGAMA CMA DPT 1,KATANYA AGAMA NYA KUAT TPI HAMIL DI LUAR",yes,noh urus kuin biar gatal nempel laki orang masyarakat kali japok gundik janda gateludh nyata nya begtu anak sholehah agama nya kuat mata kuliah agama agama nya kuat hamil
29,"bilang tu sama kuin lu, jangan gesek grepe ama lakik orng, ga malu apa udh hamil di luar nikah, kegatelan amat jadi janda",yes,bilang kuin gesek grepe lakik orang malu hamil nikah kegatelan janda
30,"please lo jangan bela pelakor,ini semua hukuman untuk si muljem karna uda tega recut suami sahabat sendiri,dia lagi menjalani sanksi sosialnya!! kenapa valakor mesti dibenci?? karna biar ga ada valakor lainnya di Indonesia,biar musnah sem",yes,mohon bela pelakorini hukum si muljem tega recut suami sahabat sendiridia jalan sanksi sosial valakor mesti benci biar valakor indonesiabiar musnah sem
31,heeehh lo pelakornya yaaaakkk??? Ngapa lo jadi emosi??? Situuu kenal gw??? Kalo berani pake akun asli dong. Pantes pake akun bodong! Ngerebut laki orang juga diem2. ?????????? keceplosan yak pake aku bodong. Ngakak gueeee ?????????? lucu lo!,yes,heeehh pelakornya yaaaakkk ngapa emosi situuu kenal berani pakai akun asli pakai akun bodong ngerebut laki orang diam ceplos yak pakai bodong tertawa gueeee lucu
32,kamu itu yg bodoh! Ngapain keluarga depok komen org yg gak ada artinya lagi buat mereka??. ..cuma kalian aja yg hidupnya gak bahagia yg suka menghujat orang dan hidup artis ayu terlalu berpengaruh buat kamu!!. Emang dasar kamu benci ayu..klo,yes,bodoh ngapain keluarga depok komen orang hidup bahagia suka hujat orang hidup artis ayu pengaruh dasar benci ayuklo
33,saya mah lihat yg terlihat jelas.. bukan main prasangka kayak elu.elu itu haters kayak dukun...dukun titisan dajjal .. sok Pinter tapi otak kosong?????? sorry ye.. gue bala Nabi Muhammad yg percaya klo udh ditunjukkin 4 saksi Dan bukti.. klo,yes,mah lihat main prasangka eluelu haters dukundukun titis dajjal sok pintar otak kosong sorry ye bala nabi muhammad percaya ditunjukkin saksi bukti
34,"bego nya lagi pede amat ngomong seolah yg dia bilang paling bener, padahal bukti aja kaga ada. Mau keliatan pinter jatohnya bego??",yes,bodoh nya pede bicara bilang bukti pintar jatohnya bodoh
35,"oalaahhh,, semakin banyak aja pelakor ?? laki nya jg kegatelan, tp namanya laki ibarat kucing di ksh ikan jaer gratis ya kga nolak wkwkkwkw",yes,oalaahhh pelakor laki nya kegatelan nama laki kucing kasih ikan jaer gratis ya tolak wkwkkwkw
36,IYAK KAA HAHAHAHAH geli bgt gasih sama att ih kampung abis:(((,yes,iyak kaa hahahahah geli banget sih att ih kampung habis
37,gw tanya. Emang kador artis beneran? Komen lo tolol sumpah. Masa harus kenal dia buat nilai dia artis atau bukan. Hahaha semua org indo jg pasti setuju kalo kador bukan artis tp cuma celebgram dr kampung. Lo tau kan bedanya artis dg selebgra,yes,kador artis komen tolol sumpah kenal nilai artis hahaha orang indonesia tuju kador artis celebgram kampung beda artis selebgra
38,hahahaaaa trs gue tanya. Lo tolol? PAke nanya kador bencong atau ngga padahal blm kenal wkwkwkwkw. Eh semua org jg bisa nilai si kador bencong beneran dr gerak gerik melambay suara ngondek dan pake baju cewek begitu nyaman. Mana ada cowok tu,yes,hahahaaaa tolol pakai kador bencong kenal wkwkwkwkw eh orang nilai si kador bencong gerak gerik melambay suara ngondek pakai baju cewek nyaman cowok
39,"maklumin shaaay... Fans gatis keras itu otaknya bebel, realita seperti apa jg ga bakalan dia terima... Seperti halnya nagita itu artis uda dr jaman dia kecil eh di bilang numpang tenar ke rapi mamad,pdhl kan yg jadiin si mamad gede y PH n",yes,maklumin shaaay fans gatis keras otak bebel realita terima hal nagita artis jaman eh bilang numpang tenar rapi mamadpdhl si mamad y ph n
40,bee idih najong lu tag2 org! Nimbrung aja kek mujaer lo! Dia ga bakal terkenal klo ga bawa2 nama ayu ting ting sm nagita! Duh bego dipiara! Kesian,yes,bee idih najong tag orang nimbrung mujaer kenal bawa nama ayu ting ting nagita duh bodoh piara kasihan
41,"sini gua jawab currr ya bunmai sdh pernah nikah Tp sekarang janda dia janda karena suami nya di rampas Mulan jameela,menjijikkan banget ya Mulan jameela sblm rmh tangga bunmai hancur sdh berani bilang Dani suami bersama aduha udh wanita be",yes,currr ya bunmai nikah janda janda suami nya rampas mulan jameelamenjijikkan ya mulan jameela rumah tangga bunmai hancur berani bilang dan suami aduha wanita be
42,"itu comment yg tidak anda lihat, ada brp banyak. Jangan jadi pengguna medsos yg bodoh jangan asal bunyi. Situ sehat pakai hijab masi nyinyir aja??",yes,komen lihat guna medsos bodoh bunyi situ sehat pakai hijab nyinyir
43,"malu tuh sama kerudung kamu sayang, sama ibadah nya. Sholat aja drpd nyinyirin org dandanan udh sok suci mulut nya kaya sampah??",yes,malu tuh kerudung sayang ibadah nya sholat nyinyirin orang dandan sok suci mulut nya kaya sampah
44,"tolong di baca arti dr comment saya, udah kerdus+bodoh lg bilangin org tua nya besok kalo masak jangan pakai mecin, jd udah kerdungab ga sesuai mulut. Besok makan salmon kalo g mampu besok aku tak deliv ke rumahmu .",yes,tolong baca arti komen kerdusbodoh bilangin orang tua nya besok masak pakai mecin kerdungab sesuai mulut besok makan salmon besok deliv rumah
45,"iyakm bening, kelewat bening jadi buluk kan ya mbak ?? mbaknya baru nelen apasih komen kaya gini? Apa baru kesurupan ?",yes,iyakm bening lewat bening buluk ya mbak mbak telan apasih komen kaya surup
46,y udh .salam knl y mbk seneng bisa knl sm mbk. Sbagai manusia kita saling ingetin.y sbagai manusia kita hrs tau diri jgn sombong yg digedein mentang2 dah jd artis haha..y udh mbk kita cabut ja y dri komen d foto ni nnt kita jd korban dy sel,no,y salam kenal y mbak senang kenal mbak manusia ingetiny manusia sombong digedein mentang artis hahay mbak cabut y komen foto ni korban sel
47,"m sama Mba! Gua jg ga bisa benci Nikmir. Salut malah ama dia ga muna! Artis lain maaf image aja di dpan, sok baik, sok teraniaya n jual air mata. Nikita ini real.. sygnya msyarakat kita cendrung yg dilihat apa yg ada di superfisial",no,m mbak benci nikmir salut muna artis maaf image sok sok aniaya n jual air mata nikita real sygnya msyarakat cendrung superfisial
48,"iya aku sih jujur bukan fans Nia, biasa aja sama dia, pas dia tenar banget sama sinteronnya juga aku biasa aja. Tapi makin ke sini kalau soal urusan keluarga, aku salut ama dia. Dia kan masih muda ya itungannya, sama aku cuma beda 2-3 t",no,iya sih jujur fans nia pas tenar sinteronnya urus keluarga salut muda ya itungannya beda t
49,"iya betul mba. Ariel gak ganteng. Tapi ariel punya kharisma yg menarik. Udah tua pun skrang agak keriput wajahnya ttp aja kharisma nya sebagai lelaki keliatan lebih terpancar. Buktinya mama, dan tante saya makin tergila2 sama ariel dan sa",no,iya mbak ariel ganteng ariel kharisma tarik tua keriput wajah kharisma nya lelaki pancar bukti mama tante gila ariel sa
50,euum setuju sekaliii emang cantikan ini dari pada yang sebelumnya. Lebih WOW... ?? terbaik ?? terpelihara hehe,no,euum tuju sekaliii cantik wow baik pelihara hehe
51,"justru karena ka bella sholehah, punya penghasilan sendiri, dan cantik jadi Allah mau kasih jodoh yang lebih baik lagi..",no,ka bella sholehah hasil cantik allah kasih jodoh
52,"aurel itu cantik tau. Pernah liat asli nya kok. Org sirik itu yg menjelek jelekannya. Padahal muka sendiri belum tente lebih cantik dan muda daripada aurel. aurel difoto nampak putib bilangnya suntik putih, kelihatan hitam dibilang gk bisa ra",no,aurel cantik lihat asli nya orang sirik jelek jelek muka tente cantik muda aurel aurel foto nampak putib bilang suntik putih hitam bilang ra
53,"Astagfirullah... Mbak tolong ucapannya dijaga ya, ALLAH menciptakan manusia dengan sempurna, kok mbak ngomongnya kayak gitu. Aurel cantik kok, wajar manusia ada kekurangannya. Dan mbak Ashanti wajar belain anaknya, bukan caper ya mbak, sia",no,astagfirullah mbak tolong ucap jaga ya allah cipta manusia sempurna mbak ngomongnya aurel cantik wajar manusia kurang mbak ashanti wajar bain anak caper ya mbak sia
54,"aslinya cantik dan ayu loh mbak krn aku sudah bertemu langsung juga sesembaknya sangat ramah tidak sombong seperti mantan2 yg lain hhe maaf ikut nimbrung ,kalo makeup dibuat senatural mungkin krn sesembaknya memang mau menonjolkan wa",no,asli cantik ayu loh mbak temu langsung sembak ramah sombong mantan hhe maaf nimbrung makeup natural sembak tonjol wa
55,"suami saya seumuran sama saya mba, malah tuaan saya beberapa bulan tapi alhamdulillah suami saya gak kekanak kanakan hehe",no,suami umur mbak tua alhamdulillah suami kekanak kana hehe
56,@fadlizon Knp bukan Om Fadli Zon saja yg maju cawapres ,no,fadlizon om fadli zon maju cawapres
57,"Kaka tidur yaa, udah pagi, gaboleh capek2",no,kaka tidur yaa pagi capai
58,makan nasi padang aja begini badannya,no,makan nasi padang badan
59,yang aku suka dari dia adalah selalu cukur jembut sebelum manggung,yes,suka cukur jembut manggung
60,Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa,no,hai kak isyana ngefans kak isyanaaku suka lagu kak isyana lagu dalam jiwa
61,Manusia apa bidadari sih herann deh cantik terus 😌♥️,no,manusia bidadari sih herann deh cantik
62,@ayu.kinantii isyan skrg berubah ya:( baju nya nakal,yes,ayukinantii isyan ubah ya baju nya nakal
63,"Gemesnya isyan kayak tango, berlapis lapis ciaaaa",no,gemesnya isyan tango lap lapis ciaaaa
64,"Makin jelek aja anaknya, padahal ibu ayahnya cakep2",yes,jelek anak ayah cakap
65,Kok anaknya kayak udah tua gitu ya mukanya kk tasya,yes,anak tua ya muka kartu keluarga tasya
66,Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya,yes,muka anak nya ko tua yaa ngegemesin lucu
67,Muka nya muka kolot wkwk bukan muka bayi2 lucu gt,yes,muka nya muka kolot wkwk muka bayi lucu
68,"Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu",yes,gila orang wkwk jomblo psikolog laku ya
69,Lo sintingnya udah tingkat dewa,yes,sinting tingkat dewa
70,Sepertinya Lutfi setelah putus dgn salsa seperti orang stress,yes,lutfi putus salsa orang stress
71,ANAK TOLOL INI MULAI AKTIF YA BUND,yes,anak tolol aktif ya bund
72,bisa mati aja ga? gedeg gua liat lu. ANJIM,yes,mati gedeg lihat anjim
73,"Woy Lutfi asu , sok asik Lo ANJING !",yes,woy lutfi asu sok asyik anjing
74,Apasih kontol berantem aja lah ayo bngst @lutfiagizal,yes,apasih kontol tengkar ayo bngst lutfiagizal
75,Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya,yes,pelakor plus hamil nikah ya anak model
76,"Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..",yes,anak pintar maknya lempeng asa baby tinggi azka lebih mama
77,Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu,no,anak cerdas bentuk pola asuh pola didik orangtua cerdas sih saran sesimple
78,Setengah iri setengah jadi motivasi ini,no,iri motivasi
79,Ancur hidup lu kalau sama dia… Sumpah..,yes,hancur hidup sumpah
80,serem banget muka lo mel kayak ayam potong merah banget,yes,seram muka mel ayam potong merah
81,"Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw",no,ya usaha kuliner artis makan bikin ngiler sih wkwkw
82,Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss,no,cocok usaha kuliner fixs semoha lancat terusssss
83,Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!,yes,jelek image owner ya artis ups artis hallo langsung orang image jelek gentong
84,Apaan sih gak jelas hidupnya,yes,sih hidup
85,"Sebelum aku Unfoll, aku mau bilang NAJISSSS",yes,unfoll bilang najissss
86,muka lu sensual tapi norak kenapa dah,yes,muka sensual norak
87,Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri,no,jaman ngebully orang hey netizen mending kaca kurang
88,"Kalau pas penempatannya, sebenernya kamu imut banget loh mel.",no,pas tempat imut loh mel
89,Cakep kaga jelek iya HAHAH,yes,cakap jelek iya hahah
90,jari jari kaki kayak jarinya tukang panggul,yes,jari jari kaki jari tukang panggul
91,"Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia",yes,kaki hamil tua ya bun kaki gajah ayuugsia
92,"Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,",no,suka heran hina fisik ya dosa
93,Ini diedit biar langsing padahal mah klo live bomber badannya,yes,edit biar langsing mah live bomber badan
94,Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong,yes,kaki gedong sayyy kaki jantan upp suka baur warwerwor mahluk astral kaki gedong
95,Bagusan foto pakai masker drpd gak pakai masker,no,bagus foto pakai masker pakai masker
96,@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???,yes,rosameldianti kakak foto memek tebal memek kakak bengkak yah
